No,住所,Geo3x3
101,本保町14-32-2,E91387321336
102,本保町24-6-1,E91384987995
103,片屋町12-15,E91384987854
104,片屋町27-21,E91384987868
105,片屋町16-37,E91384987867
106,片屋町11-30,E91384987851
107,片屋町52-13-1,E91384987925
108,片屋町46-13-5,E91384987958
109,片屋町15-2,E91384987882
110,芝原2丁目3-12,E91384988751
111,芝原4-1-30,E91384988718
112,芝原5丁目14-29-1,E91384988779
113,芝原5丁目21-35,E91387322113
114,芝原5-1-1,E91384988743
115,家久町49字,E91387322168
116,家久町79-1-9,E91387322227
117,家久町102-3-3,E91384988844
118,家久町70-7,E91384988799
119,家久町93-1-14,E91384988791
120,家久町52-13-2,E91387322155
121,家久町94-2-1,E91384988768
122,余田町39-56,E91387321246
123,余田町1-2-3,E91387321623
124,余田町14-37,E91387321284
125,氷坂町46-33-2,E91384987895
