No.,店名・会社名・建物名・個人住宅,住所,Geo3x3,icon
1,杉原商店,越前市不老町17-2,E913849981874716,image9.jpeg
2,山一製紙,越前市不老町15-17,E913849981767259,image10.jpeg
3,山田兄弟製紙,越前市不老町15-4,E913849981729944,image11.jpg
4,真柄紙加工所,越前市不老町13-20,E913849981459763,
5,水上製紙,越前市不老町21-2,E913849981462692,
6,好善寺,越前市不老町20-7,E913849981473628,
7,山崎吉左衛門,越前市不老町14-27,E913849973922922,
8,山口漉込加工所,越前市不老町6-47,E913849973967588,
9,自然居士の池,越前市不老町22-1,E913849981495224,
10,不老神社,越前市不老町22-1,E913849981493875,
11,正円寺,越前市不老町18-12,E913849981496777,
12,大将軍神社,越前市不老町,E913849973622174,
,大徳山,越前市大滝町（轟井町）,E913849985373151,
,奥之院,越前市大滝町,E913849983775528,
,大滝の大杉,越前市大滝町,E913849985338954,
,社叢林,越前市大滝町,E913849983736842,
,ぜんまい桜,越前市大滝町,E913849985312519,
13,石川製紙,越前市大滝町11-13,E913849981983666,
14,三田村製紙所,越前市大滝町12-13-12,E913849981993725,
15,越前製紙工場,越前市大滝町12-5,E913849981996316,
16,国指定名勝地三田村氏庭園,越前市大滝町12-5,E913849982774247,
17,山木製紙所,越前市大滝町12-8-5,E913849982772533,
18,紙祖神岡太神社・大瀧神社,越前市大滝町23-10,E913849982792387,
19,山久製紙所,越前市大滝町23-3,E913849982841443,
20,滝製紙所,越前市大滝町27-30,E913849981961165,
21,神宮堂,越前市大滝町27-18,E913849981934282,
22,旧寿喜娘酒造蔵,越前市大滝町28-17,E913849981963779,
23,ECHIZEN GALLERY KITA'S,越前市大滝町29-29,E913849982712538,
24,岩野市兵衛製紙所,越前市大滝町31-6,E913849982417869,
25,赤岩紙工,越前市大滝町33-3,E913849982413868,
26,山喜製紙所,越前市大滝町31-20,E913849982445274,
27,山口製紙,越前市大滝町31-26,E913849982447215,
28,山次製紙,越前市大滝町29-5,E913849982448572,
29,旧梅田和紙,越前市大滝町30-2,E913849982471381,
30,岩野平三郎製紙所,越前市大滝町27-4,E913849981698174,
31,山路製紙所,越前市大滝町29-30-1,E913849981933196,
32,長田製紙所,越前市大滝町29-39,E913849981933832,
33,山口荘八製紙所,越前市大滝町29-30,E913849982711962,
34,やなせ和紙,越前市大滝町24-21,E913849982716242,
35,円成寺,越前市大滝町24-13,E913849982751454,
36,石甚製紙所,越前市大滝町23-23-2,E913849982756113,
37,小畑製紙所,越前市大滝町23-22,E913849982755228,
38,旧水彩画用MO紙製造所,越前市大滝町25-2,E913849982746657,
39,山川製紙所,越前市大滝町25-5,E913849982745122,
40,川崎邸,越前市大滝町25-25,E913849981966832,
41,旧福田忠雄邸,越前市大滝町25-27,E913849981991116,
42,記憶の家,越前市大滝町27-16,E913849981935447,
43,柳瀬彦左衛門邸,越前市大滝町29-31,E913849982711342,
44,柳瀬良三製紙所,越前市岩本町10-1,E913849981889517,
45,横山大観の碑,越前市岩本町11-12-1,E913849981899195,
46,岡太神社の第一の鳥居,越前市岩本町11-1,E913849981977249,
47,岩本神社,越前市岩本町18-1,E913849981948777,
48,五十嵐製紙,越前市岩本町12-14,E913849981978864,
49,成願寺,越前市岩本町15-4,E913849984356271,
50,吉崎邸,越前市岩本町10-19,E913849984268533,
51,竹下邸,越前市岩本町10-20,E913849984269253,
52,吉田邸,越前市岩本町10-29,E913849984317545,
53,岩六製紙所,越前市岩本町17-24,E913849981997739,
54,登録文化財綴の家,越前市岩本町17-12,E913849984326125,
55,成願寺,越前市岩本町15-4,E913849984356193,
56,秋葉山展望台,越前市岩本町,E913849984367861,
57,登録文化財根岸家住宅,越前市岩本町16-8,E913849984327473,
58,辻岡邸,越前市岩本町15-20,E913849984349246,
59,岡本郵便局,越前市岩本町10-15,E913849984267531,
60,吉田邸,越前市岩本町10-5,E913849984281344,
61,TAKI PAPER,越前市岩本町2-26,E913849984137263,
62,井上邸,越前市岩本町9-2-1,E913849984273664,
63,オーマート,越前市新在家町10-9-2,E913849984521228,
64,紙の文化博物館,越前市新在家町11-12,E913849984288329,
65,越前和紙の里美術館,越前市新在家町11-13-1,E913849984285289,
66,清水紙工,越前市新在家町11-11,E913849984295176,
67,パピルス館,越前市新在家町8-44,E913849984426975,
68,和紙の店うめ田,越前市新在家町8-3-1,E913849984437662,
69,喫茶さいや,越前市新在家町9-15,E913849984436871,
70,卯立の工芸館,越前市新在家町9-21-2,E913849984515174,
71,お食事処よってこ,越前市新在家町9-21-2,E913849984512892,
72,清水和紙,越前市新在家町10-2,E913849984521178,
73,和紙の里通りの民家,越前市新在家町8-6,E913849984511657,
74,新在家製紙所,越前市新在家町14-18,E913849984371815,
75,神明神社,越前市新在家町13-16,E913849984624739,
76,善法寺,越前市新在家町13-4,E913849984617173,
77,加藤紙工所,越前市新在家町13-9,E913849984533872,
78,清水製紙所,越前市新在家町12-13,E913849984563549,
79,山丸製紙所,越前市新在家町12-8,E913849984566159,
80,高野邸,越前市新在家町13-1,E913849984563352,
81,高野邸蔵,越前市新在家町13-1-2,E913849984563941,
82,加藤邸,越前市新在家町4-7,E913849984567961,
83,岡本小学校,越前市定友町10-15,E913849984842618,
84,岡本公民館,越前市定友町10-2-2,E913849984812557,
85,唯宝寺,越前市定友町3-1,E913849984596997,
86,今日亭,越前市定友町2-6,E913849984912382,
87,西野商会,越前市定友町4-7-6,E913849984823544,
88,登録文化財西野家住宅,越前市定友町4-8,E913849984822668,
89,西野邸,越前市定友町9-2,E913849984826274,
90,登録文化財信洋舎,越前市定友町2-15,E913849984914819,
91,岡本神社,越前市定友町1-11,E913849984919766,
92,福井特殊紙,越前市定友町13-7,E913849984899185,
93,細井喜平商店,越前市定友町12-12,E913849984889288,
94,西野邸,越前市定友町8-6,E913849984889334,
95,杉尾の逆さ杉,越前市杉尾町,E913849985924567,
96,杉杜神社,越前市杉尾町,E913849985955159,
97,よのき清水,越前市杉尾町,E913849988193792,
98,いまだて芸術館,越前市粟田部町11-1-1,E913849987268941,
99,むさしや,越前市粟田部町35-10-1,E913849987227461,
100,しろうるし,越前市粟田部町34-30,E913849984877573,
101,エスポワール,越前市粟田部町32-16-1,E913849987125217,
102,大陸飯店,越前市粟田部町33-6-9,E913849987125362,
